Trimestre,Distrito,PER,Precio_Venta_USD,Tipo_Cambio,Alquiler_Mensual_Soles,distrito_norm
2026-T1,Barranco,17.037,1510.42,3.3868,25.0216,Barranco
2026-T1,Jesús María,17.5246,2463.92,3.3868,39.6817,Jesus Maria
2026-T1,La Molina,15.518,2098.61,3.3868,38.1688,La Molina
2026-T1,Lince,15.0697,2604.5,3.3868,48.7791,Lince
2026-T1,Magdalena,15.3865,1818.18,3.3868,33.351,Magdalena
2026-T1,Miraflores,17.7785,2102.95,3.3868,33.3846,Miraflores
2026-T1,Promedio,16.6728,1856.33,3.3868,31.4238,Promedio
2026-T1,Pueblo Libre,16.9139,1893.95,3.3868,31.6037,Pueblo Libre
2026-T1,San Borja,17.5781,1986.3,3.3868,31.8923,San Borja
2026-T1,San Isidro,16.6972,1875.0,3.3868,31.6935,San Isidro
2026-T1,San Miguel,17.448,1637.33,3.3868,26.4852,San Miguel
2026-T1,Surco,18.1518,2042.17,3.3868,31.753,Surco
2026-T1,Surquillo,14.9705,2555.56,3.3868,48.1795,Surquillo
