Trimestre,Distrito,PER,Precio_Venta_USD,Tipo_Cambio,Alquiler_Mensual_Soles,distrito_norm
2013-T3,Barranco,16.9776,1487.01,2.7857,20.3322,Barranco
2013-T4,Barranco,16.9776,1459.62,2.7842,19.9469,Barranco
2014-T1,Barranco,16.4575,1603.67,2.8093,22.8124,Barranco
2014-T2,Barranco,16.5774,1500.0,2.7919,21.0517,Barranco
2014-T3,Barranco,13.2249,1423.84,2.8215,25.3144,Barranco
2014-T4,Barranco,14.4318,1418.92,2.9309,24.0134,Barranco
2015-T1,Barranco,16.2518,1397.8,3.0586,21.9221,Barranco
2015-T2,Barranco,16.2543,1533.52,3.1439,24.7175,Barranco
2015-T3,Barranco,16.681,1333.33,3.2127,21.3999,Barranco
2015-T4,Barranco,14.5122,1470.59,3.3226,28.0575,Barranco
2016-T1,Barranco,14.3007,1398.6,3.4502,28.119,Barranco
2016-T2,Barranco,21.6755,1372.55,3.3173,17.5049,Barranco
2016-T3,Barranco,18.3225,1433.04,3.338,21.7561,Barranco
2016-T4,Barranco,18.8795,1500.0,3.3947,22.4763,Barranco
2017-T1,Barranco,17.4557,1484.04,3.2879,23.2939,Barranco
2017-T2,Barranco,19.2478,1475.73,3.2627,20.8458,Barranco
2017-T3,Barranco,21.8667,1391.3,3.2455,17.2084,Barranco
2017-T4,Barranco,18.0645,1456.14,3.2459,21.8039,Barranco
2018-T1,Barranco,17.2265,1387.26,3.2385,21.7331,Barranco
2018-T2,Barranco,14.2119,1333.33,3.2584,25.4747,Barranco
2018-T3,Barranco,17.1894,1453.33,3.292,23.1943,Barranco
2018-T4,Barranco,17.7796,1396.13,3.3575,21.9706,Barranco
2019-T1,Barranco,17.7787,1495.33,3.3233,23.2932,Barranco
2019-T2,Barranco,17.1445,1478.26,3.3206,23.8595,Barranco
2019-T3,Barranco,17.0742,1500.0,3.3417,24.4647,Barranco
2019-T4,Barranco,18.7165,1419.1,3.3622,21.2438,Barranco
2020-T1,Barranco,16.1226,1428.57,3.403,25.1276,Barranco
2020-T2,Barranco,17.9442,1434.26,3.4296,22.8436,Barranco
2020-T3,Barranco,20.2661,1458.33,3.5451,21.2588,Barranco
2020-T4,Barranco,17.8352,1581.67,3.602,26.6195,Barranco
2021-T1,Barranco,16.6915,1524.39,3.6593,27.8497,Barranco
2021-T2,Barranco,20.0219,1464.77,3.7944,23.1329,Barranco
2021-T3,Barranco,20.2378,1510.42,4.0446,25.155,Barranco
2021-T4,Barranco,17.4402,1439.02,4.0239,27.6682,Barranco
2022-T1,Barranco,20.3595,1538.16,3.8063,23.9638,Barranco
2022-T2,Barranco,18.6501,1579.44,3.7481,26.4518,Barranco
2022-T3,Barranco,18.4756,1481.48,3.8912,26.0018,Barranco
2022-T4,Barranco,18.659,1455.89,3.8951,25.3266,Barranco
2023-T1,Barranco,17.1432,1411.46,3.8178,26.1941,Barranco
2023-T2,Barranco,18.7908,1520.87,3.7018,24.9675,Barranco
2023-T3,Barranco,18.4594,1500.0,3.6758,24.8909,Barranco
2023-T4,Barranco,17.9698,1508.64,3.78,26.4454,Barranco
2024-T1,Barranco,16.0128,1538.38,3.7589,30.0936,Barranco
2024-T2,Barranco,17.1131,1533.33,3.7429,27.9472,Barranco
2024-T3,Barranco,16.4728,1516.08,3.758,28.8222,Barranco
2024-T4,Barranco,17.3065,1552.18,3.7558,28.0706,Barranco
2025-T1,Barranco,17.4685,1451.39,3.6993,25.6137,Barranco
2025-T2,Barranco,17.2928,1500.0,3.6546,26.417,Barranco
2025-T3,Barranco,16.9474,1509.91,3.5341,26.2388,Barranco
2025-T4,Barranco,15.3048,1392.05,3.3846,25.6534,Barranco
2026-T1,Barranco,17.037,1510.42,3.3868,25.0216,Barranco
2013-T3,Jesús María,15.7092,2153.65,2.7857,31.8252,Jesus Maria
2013-T4,Jesús María,16.1682,2080.54,2.7842,29.8557,Jesus Maria
2014-T1,Jesús María,16.9355,2166.67,2.8093,29.9512,Jesus Maria
2014-T2,Jesús María,15.9882,2327.61,2.7919,33.8708,Jesus Maria
2014-T3,Jesús María,15.5175,2111.11,2.8215,31.9883,Jesus Maria
2014-T4,Jesús María,14.9524,2077.46,2.9309,33.9343,Jesus Maria
2015-T1,Jesús María,15.6843,2121.93,3.0586,34.4828,Jesus Maria
2015-T2,Jesús María,16.4877,2097.25,3.1439,33.3255,Jesus Maria
2015-T3,Jesús María,15.8226,2015.86,3.2127,34.1096,Jesus Maria
2015-T4,Jesús María,15.3972,2078.23,3.3226,37.3719,Jesus Maria
2016-T1,Jesús María,15.8873,2146.43,3.4502,38.8446,Jesus Maria
2016-T2,Jesús María,15.0982,2117.69,3.3173,38.7737,Jesus Maria
2016-T3,Jesús María,15.887,2183.91,3.338,38.2386,Jesus Maria
